dataset,model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,brier_mean,brier_std,train_time_mean_sec,train_time_std_sec,n_folds
raw_clean,logistic,0.7899465388557767,0.0073787536842162575,0.7940198128345545,0.00786418454352855,0.8787477063505904,0.001984601600448123,0.14194129796928423,0.001393674811312239,0.049521419998200145,0.01179601786745592,5
raw_clean,svm,0.7151734625206212,0.023021422020552868,0.7113153953089091,0.020545221534279214,0.8068655490374363,0.018400026792856256,0.2592091980963797,0.01967235253988597,0.051457759999902916,0.008906336515536819,5
raw_clean,knn,0.7778681185899068,0.006201007023791849,0.7734015464883675,0.00556237871689959,0.8655549256639736,0.004588225158796446,0.14793720850945175,0.0024153367840995944,0.0004972199996700511,4.376068375098148e-05,5
raw_clean,nn,0.8049017629141518,0.009398160586267289,0.8077524563254753,0.009199793660204554,0.8966555419247001,0.00415613555192483,0.13007393807453965,0.0027661944098573542,0.5500903399995878,0.14487424002492022,5
pca8,logistic,0.7675146291898246,0.006059959406124475,0.7887844427614084,0.00574680004250988,0.8260957135374012,0.003601604332497273,0.16650344202944545,0.0014075723987551309,0.039902260000235404,0.009021922529611096,5
pca8,svm,0.7070001740349168,0.042882195570346,0.713619582229757,0.061997019259890984,0.7846972033569679,0.03124778497643356,0.21544623873316526,0.022373749118382576,0.050377940000907985,0.005270117294302243,5
pca8,knn,0.7721137831022022,0.011593192608333235,0.7816892959174566,0.009100265627333235,0.8644972783392622,0.005696010396277272,0.15105195715438272,0.004355633713414395,9.8160000925418e-05,1.2189273369054977e-05,5
pca8,nn,0.7913269070554285,0.008386609080272642,0.8064298924810643,0.00807716002659532,0.8689916515681635,0.011958804860405526,0.14653778756109,0.00603365348996762,0.5985608599978149,0.2296945341074055,5
sigmoid_kpca,logistic,0.7871856039375565,0.007377435294999329,0.7968037610991672,0.006675022873051157,0.8751404868860334,0.003909718209270933,0.1442672165724152,0.0021814872690928493,0.02806813999923179,0.0033017701003556403,5
sigmoid_kpca,svm,0.717126491621509,0.01910721622213997,0.7093307198514861,0.019327872192783858,0.7926358837139503,0.024205889709643776,0.23417657566550476,0.011275826093709501,0.050465339998481795,0.0030826140909923343,5
sigmoid_kpca,knn,0.7886795249574674,0.006118208129648636,0.7893943345329494,0.00600402456077281,0.8818048121701091,0.004679187119167121,0.13920161954630803,0.0032047025579609546,0.00012909999932162464,4.4766103899036345e-05,5
sigmoid_kpca,nn,0.8015641967163647,0.007329192221315374,0.8032559439091573,0.006689977751694455,0.8903125051871553,0.0036072330947017617,0.13408949774372142,0.0025812536930104155,0.6572799999979907,0.156813072338898,5
ae16,logistic,0.789370767824848,0.007502125831507873,0.7966279115016641,0.007028970797029391,0.8752674557948369,0.0028690543523307763,0.14416586736604692,0.0016864733391420317,0.05527437999844551,0.01041366072968903,5
ae16,svm,0.771538541455051,0.008048292964092825,0.7758998450875302,0.009011679688946788,0.8445214552914289,0.010387312507630713,0.21441566600472067,0.006860834727138121,0.043910399999003855,0.012857868749547616,5
ae16,knn,0.7869543293997914,0.005897325997648531,0.7885504350360454,0.005175198589115526,0.8781082470696792,0.0038324861676699313,0.14157448155952207,0.0024331533796826048,0.00010480000055395067,1.003254804632956e-05,5
ae16,nn,0.8019089579014169,0.004980192786950257,0.8045630081774183,0.0035625686543192,0.8922167555191713,0.003185470438008084,0.13271649715243855,0.002314997544030805,0.7624194600008195,0.12189029090114098,5
